paper_id,doi,year,journal,doi_shared
P0000001,,1997,JOURNAL OF THE AMERICAN SOCIETY OF BREWING CHEMISTS,False
P0000002,10.1183/09031936.97.10112553,1997,EUROPEAN RESPIRATORY JOURNAL,False
P0000003,10.1111/j.1439-0396.1997.tb00752.x,1997,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION-ZEITSCHRIFT FUR TIERPHYSIOLOGIE TIERERNAHRUNG UND FUTTERMITTELKUNDE,False
P0000004,10.1016/s0269-7491(97)00091-2,1997,ENVIRONMENTAL POLLUTION,False
P0000005,10.1016/s0269-7491(97)00094-8,1997,ENVIRONMENTAL POLLUTION,False
P0000006,10.1016/s0269-7491(97)00077-8,1997,ENVIRONMENTAL POLLUTION,False
P0000007,10.1136/gut.41.6.778,1997,GUT,False
P0000008,,1997,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,False
P0000009,10.1205/095758297529138,1997,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,False
P0000010,10.1023/a:1005860302313,1997,PLANT MOLECULAR BIOLOGY,False
P0000011,10.1061/(asce)0733-9496(1998)124:1(59),1998,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT-ASCE,False
P0000012,10.1016/s0022-3913(97)70007-6,1997,JOURNAL OF PROSTHETIC DENTISTRY,False
P0000013,,1997,"CELLS OF THE HEPATIC SINUSOID, VOL 6",False
P0000014,10.1023/a:1021492211906,1997,JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS,False
P0000015,10.1016/s0305-4179(97)00019-3,1997,BURNS,False
P0000016,10.1016/s1383-5866(97)00040-3,1997,SEPARATION AND PURIFICATION TECHNOLOGY,False
P0000017,10.1016/s0009-2614(97)01072-5,1997,CHEMICAL PHYSICS LETTERS,False
P0000018,10.3147/jsfp.32.193,1997,FISH PATHOLOGY,False
P0000019,10.3147/jsfp.32.199,1997,FISH PATHOLOGY,False
P0000020,10.3109/08916939708994739,1997,AUTOIMMUNITY,False
