relation_id,head_entity_id,relation_type,tail_entity_id,n_evidence,n_papers,mean_re_confidence,max_re_confidence
R0000001,E00002,HAS,E00001,20231,11649,0.9972,1.0
R0000002,E00002,HAS,E00003,7649,5138,0.9977,1.0
R0000003,E00002,HAS,E00025,6675,4905,0.9974,1.0
R0000004,E00002,HAS,E00087,4503,3267,0.9973,1.0
R0000005,E00002,HAS,E00050,2950,2265,0.9961,1.0
R0075818,E00002,REMOVES,E00010,3015,1954,0.996,1.0
R0000006,E00002,HAS,E00004,1964,1472,0.9969,1.0
R0000007,E00304,HAS,E00001,2215,1459,0.9994,1.0
R0075819,E00002,REMOVES,E00095,1761,1443,0.9971,1.0
R0075820,E00002,REMOVES,E00006,1956,1356,0.9947,1.0
R0000008,E00002,HAS,E00154,1771,1277,0.9975,1.0
R0075821,E00002,REMOVES,E00035,1585,1124,0.9967,1.0
R0075822,E00002,REMOVES,E00018,1647,1074,0.9962,1.0
R0000009,E00078,HAS,E00001,1655,1059,0.9992,1.0
R0075823,E00002,REMOVES,E00085,1488,1037,0.9958,1.0
R0075824,E00002,REMOVES,E00009,1370,992,0.9958,1.0
R0000010,E00304,HAS,E00025,1126,933,0.9998,1.0
R0000011,E00097,HAS,E00001,1597,926,0.9964,1.0
R0000012,E00002,HAS,E00199,1116,898,0.9981,1.0
R0000013,E00002,HAS,E00105,1002,862,0.9958,1.0
